rodzaj-testu;n;f(x);ilosc oligonuklotydow;procentowo
testy\poz-oli\10.500+50;509;584;385;77
testy\poz-oli\10.500+50;509;584;385;77
testy\poz-oli\10.500+50;509;584;385;77
testy\poz-oli\10.500+50;509;577;386;77
testy\poz-oli\10.500+50;509;555;385;77
testy\poz-oli\10.500+50;509;524;384;76
testy\poz-oli\10.500+50;509;523;385;77
testy\poz-oli\10.500+50;509;519;384;76
testy\poz-oli\10.500+50;509;519;384;76
testy\poz-oli\10.500+50;509;519;384;76
testy\poz-oli\18.200+20;209;244;138;69
testy\poz-oli\18.200+20;209;257;133;66
testy\poz-oli\18.200+20;209;238;139;69
testy\poz-oli\18.200+20;209;216;134;67
testy\poz-oli\18.200+20;209;216;134;67
testy\poz-oli\18.200+20;209;216;134;67
testy\poz-oli\18.200+20;209;216;134;67
testy\poz-oli\18.200+20;209;216;134;67
testy\poz-oli\18.200+20;209;216;134;67
testy\poz-oli\18.200+20;209;216;134;67
testy\poz-oli\20.300+30;309;286;261;87
testy\poz-oli\20.300+30;309;286;261;87
testy\poz-oli\20.300+30;309;286;261;87
testy\poz-oli\20.300+30;309;266;259;86
testy\poz-oli\20.300+30;309;266;260;86
testy\poz-oli\20.300+30;309;264;257;85
testy\poz-oli\20.300+30;309;263;257;85
testy\poz-oli\20.300+30;309;263;257;85
testy\poz-oli\20.300+30;309;262;257;85
testy\poz-oli\20.300+30;309;262;257;85
testy\poz-oli\25.500+50;509;559;390;78
testy\poz-oli\25.500+50;509;559;390;78
testy\poz-oli\25.500+50;509;559;390;78
testy\poz-oli\25.500+50;509;556;392;78
testy\poz-oli\25.500+50;509;547;378;75
testy\poz-oli\25.500+50;509;540;377;75
testy\poz-oli\25.500+50;509;540;378;75
testy\poz-oli\25.500+50;509;533;376;75
testy\poz-oli\25.500+50;509;533;375;75
testy\poz-oli\25.500+50;509;533;375;75
testy\poz-oli\35.200+20;209;238;154;77
testy\poz-oli\35.200+20;209;257;151;75
testy\poz-oli\35.200+20;209;228;153;76
testy\poz-oli\35.200+20;209;215;151;75
testy\poz-oli\35.200+20;209;207;147;73
testy\poz-oli\35.200+20;209;207;147;73
testy\poz-oli\35.200+20;209;207;147;73
testy\poz-oli\35.200+20;209;207;147;73
testy\poz-oli\35.200+20;209;207;147;73
testy\poz-oli\35.200+20;209;207;147;73
testy\poz-oli\53.500+50;509;498;397;79
testy\poz-oli\53.500+50;509;498;397;79
testy\poz-oli\53.500+50;509;498;397;79
testy\poz-oli\53.500+50;509;481;397;79
testy\poz-oli\53.500+50;509;470;397;79
testy\poz-oli\53.500+50;509;465;394;78
testy\poz-oli\53.500+50;509;465;394;78
testy\poz-oli\53.500+50;509;465;394;78
testy\poz-oli\53.500+50;509;465;394;78
testy\poz-oli\53.500+50;509;465;394;78
testy\poz-oli\55.300+30;309;377;223;74
testy\poz-oli\55.300+30;309;382;223;74
testy\poz-oli\55.300+30;309;361;223;74
testy\poz-oli\55.300+30;309;333;222;74
testy\poz-oli\55.300+30;309;316;220;73
testy\poz-oli\55.300+30;309;313;219;73
testy\poz-oli\55.300+30;309;311;219;73
testy\poz-oli\55.300+30;309;309;219;73
testy\poz-oli\55.300+30;309;309;219;73
testy\poz-oli\55.300+30;309;309;219;73
testy\poz-oli\55.400+40;409;468;298;74
testy\poz-oli\55.400+40;409;468;298;74
testy\poz-oli\55.400+40;409;468;298;74
testy\poz-oli\55.400+40;409;456;302;75
testy\poz-oli\55.400+40;409;439;300;75
testy\poz-oli\55.400+40;409;434;295;73
testy\poz-oli\55.400+40;409;431;293;73
testy\poz-oli\55.400+40;409;431;293;73
testy\poz-oli\55.400+40;409;431;293;73
testy\poz-oli\55.400+40;409;431;293;73
testy\poz-oli\58.300+30;309;384;221;73
testy\poz-oli\58.300+30;309;387;222;74
testy\poz-oli\58.300+30;309;383;213;71
testy\poz-oli\58.300+30;309;350;199;66
testy\poz-oli\58.300+30;309;326;195;65
testy\poz-oli\58.300+30;309;312;194;64
testy\poz-oli\58.300+30;309;305;191;63
testy\poz-oli\58.300+30;309;305;191;63
testy\poz-oli\58.300+30;309;305;191;63
testy\poz-oli\58.300+30;309;305;191;63
testy\poz-oli\62.400+40;409;471;312;78
testy\poz-oli\62.400+40;409;471;312;78
testy\poz-oli\62.400+40;409;471;312;78
testy\poz-oli\62.400+40;409;478;314;78
testy\poz-oli\62.400+40;409;451;313;78
testy\poz-oli\62.400+40;409;428;308;77
testy\poz-oli\62.400+40;409;419;308;77
testy\poz-oli\62.400+40;409;416;306;76
testy\poz-oli\62.400+40;409;414;298;74
testy\poz-oli\62.400+40;409;414;298;74
testy\poz-oli\68.400+40;409;402;316;79
testy\poz-oli\68.400+40;409;402;316;79
testy\poz-oli\68.400+40;409;402;316;79
testy\poz-oli\68.400+40;409;400;316;79
testy\poz-oli\68.400+40;409;400;316;79
testy\poz-oli\68.400+40;409;400;316;79
testy\poz-oli\68.400+40;409;400;316;79
testy\poz-oli\68.400+40;409;400;315;78
testy\poz-oli\68.400+40;409;400;315;78
testy\poz-oli\68.400+40;409;400;315;78
testy\poz-oli\9.200+20;209;266;149;74
testy\poz-oli\9.200+20;209;282;145;72
testy\poz-oli\9.200+20;209;251;147;73
testy\poz-oli\9.200+20;209;229;146;73
testy\poz-oli\9.200+20;209;207;144;72
testy\poz-oli\9.200+20;209;207;144;72
testy\poz-oli\9.200+20;209;207;144;72
testy\poz-oli\9.200+20;209;205;144;72
testy\poz-oli\9.200+20;209;205;144;72
testy\poz-oli\9.200+20;209;205;144;72
